filename,start,duration,score
Raw_Wav_20180223_001026.wav,417,2.5,0.692289811
Raw_Wav_20180223_001026.wav,433.5,3,0.809608896
Raw_Wav_20180223_001026.wav,444,2.5,0.651945508
Raw_Wav_20180223_001026.wav,453,3.5,0.830481298
Raw_Wav_20180223_001026.wav,463,4.5,0.835954047
Raw_Wav_20180223_001026.wav,474.5,5,0.721618192
Raw_Wav_20180223_001026.wav,503,4.5,0.807100254
Raw_Wav_20180223_001026.wav,518,1,0.529626685
Raw_Wav_20180223_001026.wav,519.5,1,0.520306836
Raw_Wav_20180223_001026.wav,521,6,0.736396862
Raw_Wav_20180223_001026.wav,534,4,0.760214487
Raw_Wav_20180223_001026.wav,539,3,0.786571817
Raw_Wav_20180223_001026.wav,545,1.5,0.551291496
Raw_Wav_20180223_001026.wav,549,3,0.712192579
Raw_Wav_20180223_001026.wav,554.5,2.5,0.781173423
Raw_Wav_20180223_001026.wav,565,2.5,0.742267378
Raw_Wav_20180223_001026.wav,570.5,1,0.531195801
Raw_Wav_20180223_001026.wav,574,2,0.677475095
Raw_Wav_20180223_001026.wav,579,2,0.681837814
Raw_Wav_20180223_001026.wav,585,3,0.727944867
Raw_Wav_20180223_001026.wav,590.5,2.5,0.634529808
Raw_Wav_20180223_001026.wav,596,0.5,0.621553543
Raw_Wav_20180223_004026.wav,52.5,4,0.789331889
Raw_Wav_20180223_004026.wav,198.5,2,0.60634793
Raw_Wav_20180223_004026.wav,311.5,2,0.710347312
Raw_Wav_20180223_004026.wav,336.5,2.5,0.765413556
Raw_Wav_20180223_004026.wav,346.5,1,0.52009531
Raw_Wav_20180223_004026.wav,348,0.5,0.504025409
Raw_Wav_20180223_004026.wav,358.5,2.5,0.728676876
Raw_Wav_20180223_004026.wav,370.5,3,0.766940345
Raw_Wav_20180223_004026.wav,375,1.5,0.520206023
Raw_Wav_20180223_004026.wav,392.5,2.5,0.780158871
Raw_Wav_20180223_004026.wav,397,1.5,0.680842073
Raw_Wav_20180223_004026.wav,404,3,0.789220572
Raw_Wav_20180223_004026.wav,427,3,0.764853562
Raw_Wav_20180223_004026.wav,443,4.5,0.845182559
Raw_Wav_20180223_004026.wav,448,0.5,0.550493154
Raw_Wav_20180223_004026.wav,457,4,0.814909952
Raw_Wav_20180223_004026.wav,463.5,1,0.526281707
Raw_Wav_20180223_004026.wav,480.5,4,0.822621335
Raw_Wav_20180223_004026.wav,492.5,4,0.82448329
Raw_Wav_20180223_004026.wav,498,2,0.597955897
Raw_Wav_20180223_004026.wav,511,1,0.734884501
Raw_Wav_20180223_004026.wav,512,2,0.785290686
Raw_Wav_20180223_004026.wav,524.5,3.5,0.794310797
Raw_Wav_20180223_004026.wav,536.5,0.5,0.55636186
Raw_Wav_20180223_004026.wav,538.5,5,0.808430992
Raw_Wav_20180223_004026.wav,546,0.5,0.557834941
Raw_Wav_20180223_004026.wav,549.5,4.5,0.698832197
Raw_Wav_20180223_004026.wav,556,2,0.690945772
Raw_Wav_20180223_004026.wav,571.5,2.5,0.776996122
Raw_Wav_20180223_004026.wav,575.5,2.5,0.750842037
Raw_Wav_20180223_004026.wav,580,3.5,0.810221812
Raw_Wav_20180223_004026.wav,585,1.5,0.635497951
Raw_Wav_20180223_005026.wav,1,3.5,0.779260326
Raw_Wav_20180223_005026.wav,29,3,0.739507397
Raw_Wav_20180223_005026.wav,32,0.5,0.593772604
Raw_Wav_20180223_005026.wav,36.5,2,0.731018706
Raw_Wav_20180223_005026.wav,54.5,2.5,0.650756746
Raw_Wav_20180223_005026.wav,90,1,0.557419472
Raw_Wav_20180223_005026.wav,93.5,2.5,0.668557419
Raw_Wav_20180223_005026.wav,184,2.5,0.759280958
Raw_Wav_20180223_005026.wav,191.5,0.5,0.520509981
Raw_Wav_20180223_005026.wav,192,3,0.808157035
Raw_Wav_20180223_005026.wav,202,3.5,0.818610035
Raw_Wav_20180223_005026.wav,212,4.5,0.857150773
Raw_Wav_20180223_005026.wav,221,1.5,0.617721849
Raw_Wav_20180223_005026.wav,234.5,6.5,0.713801326
Raw_Wav_20180223_005026.wav,269.5,0.5,0.554320139
Raw_Wav_20180223_005026.wav,290.5,4,0.827729463
Raw_Wav_20180223_005026.wav,305.5,4.5,0.836210079
Raw_Wav_20180223_005026.wav,317.5,2.5,0.893928117
Raw_Wav_20180223_005026.wav,320,1,0.674818046
Raw_Wav_20180223_005026.wav,325,1,0.508303793
Raw_Wav_20180223_005026.wav,338,3.5,0.81374625
Raw_Wav_20180223_005026.wav,343,2,0.725557225
Raw_Wav_20180223_005026.wav,349,3,0.866118729
Raw_Wav_20180223_005026.wav,352,0.5,0.614646954
Raw_Wav_20180223_005026.wav,375.5,4,0.799722615
Raw_Wav_20180223_005026.wav,386,3,0.83343964
Raw_Wav_20180223_005026.wav,409,2.5,0.799573474
Raw_Wav_20180223_005026.wav,420,3,0.86006999
Raw_Wav_20180223_005026.wav,428,2,0.681738035
Raw_Wav_20180223_005026.wav,439.5,8,0.723013705
Raw_Wav_20180223_005026.wav,450.5,2.5,0.741230747
